,Location,Venue Latitude,Venue Longitude,geometry
236,Bedford,32.89650975848223,-97.04455461150442,"32.89650975848223, -97.04455461150442"
237,Bellmead,31.527859,-97.168205,"31.527859, -97.168205"
238,Bellmead,31.539068255015575,-97.12784439275526,"31.539068255015575, -97.12784439275526"
239,Bellmead,31.601972795940085,-97.1066518109508,"31.601972795940085, -97.1066518109508"
240,Bellmead,32.06767,-96.44955,"32.06767, -96.44955"
241,Benbrook,32.984362,-96.909183,"32.984362, -96.909183"
242,Benbrook,32.81095352656651,-97.43245023417664,"32.81095352656651, -97.43245023417664"
243,Benbrook,32.740647179873775,-97.45136549234117,"32.740647179873775, -97.45136549234117"
244,Big Spring,31.89585167990097,-102.34256550690529,"31.89585167990097, -102.34256550690529"
245,Big Spring,32.027118276455134,-102.08244084375302,"32.027118276455134, -102.08244084375302"
246,Big Spring,32.26482,-101.490031,"32.26482, -101.490031"
247,Big Spring,31.96982,-102.07272,"31.96982, -102.07272"
248,Big Spring,32.448740882962014,-100.44354513404593,"32.448740882962014, -100.44354513404593"
249,Brookshire,29.769940524746204,-95.60145733198908,"29.769940524746204, -95.60145733198908"
250,Brookshire,29.7768337005671,-95.95180052940387,"29.7768337005671, -95.95180052940387"
251,Brookshire,29.78400002806009,-95.75427068316031,"29.78400002806009, -95.75427068316031"
252,Brookshire,29.699365,-95.84666,"29.699365, -95.84666"
253,Brookshire,29.796733,-95.704127,"29.796733, -95.704127"
254,Brookshire,29.776920119196664,-95.95189858976764,"29.776920119196664, -95.95189858976764"
255,Brownsville,26.18964652334069,-98.16768481082794,"26.18964652334069, -98.16768481082794"
256,Brownsville,26.201074172736764,-98.22999302963606,"26.201074172736764, -98.22999302963606"
257,Brownsville,26.237156846302597,-98.21006402710262,"26.237156846302597, -98.21006402710262"
258,Brownsville,26.192287175485777,-98.13502520451428,"26.192287175485777, -98.13502520451428"
259,Brownsville,26.261794380401614,-98.1678638779754,"26.261794380401614, -98.1678638779754"
260,Brownsville,26.306421999999998,-98.192479,"26.306421999999998, -98.192479"
261,Brownsville,26.17220374171681,-98.00875940274649,"26.17220374171681, -98.00875940274649"
262,Brownsville,26.126474793858986,-97.63771316985112,"26.126474793858986, -97.63771316985112"
263,Brownsville,26.18515903566252,-97.72093970484637,"26.18515903566252, -97.72093970484637"
